Vertex,Degrees of vertices when n=1600 and r=0.060000
687,8
1123,8
1512,9
954,12
220,7
214,8
1492,8
623,3
641,11
957,2
794,11
1210,9
1443,14
185,13
893,11
1316,12
1207,14
108,13
1564,12
765,12
43,11
650,13
389,14
423,9
937,10
159,10
874,6
174,4
598,7
193,11
1227,10
782,19
1444,10
565,14
536,10
1519,16
980,13
1012,8
576,11
731,10
93,20
1019,10
425,9
968,17
679,11
739,12
848,20
286,16
1237,16
562,17
988,14
570,16
279,14
54,16
1193,11
648,14
486,17
637,11
694,15
507,18
1514,23
329,14
346,15
993,16
881,18
350,24
439,20
1086,13
73,11
285,11
223,14
124,17
1269,19
1356,15
917,22
1162,13
1598,16
626,27
1409,19
950,17
1218,24
79,14
58,20
385,13
1455,17
1460,12
655,18
209,14
949,17
658,19
1307,13
349,18
1568,16
211,24
1588,22
856,22
87,4
142,4
398,18
784,23
179,19
1075,19
1354,22
571,20
1308,15
1487,16
377,24
723,11
755,20
316,21
485,25
1152,19
1191,24
328,22
47,20
410,22
872,4
920,24
1189,19
189,18
46,19
210,17
144,16
448,19
184,23
118,21
1270,18
1370,17
161,23
1209,18
1009,21
302,6
552,14
1426,15
629,16
250,20
1545,24
546,24
578,17
948,21
97,20
1206,20
48,20
337,21
1251,15
678,20
1134,16
114,24
876,20
1273,16
657,9
152,20
1456,23
1320,25
147,17
1169,20
284,20
249,23
489,15
1167,14
77,21
1496,19
149,20
1365,19
187,21
343,17
1092,24
269,16
777,23
1099,18
868,17
71,15
916,22
1518,16
1428,11
1574,15
1507,22
308,16
608,20
1462,18
1008,12
359,18
734,17
30,19
1213,14
345,20
454,18
212,15
544,15
429,19
1405,18
8,19
1215,20
17,17
1033,14
541,16
254,20
625,20
245,18
941,18
764,21
620,20
1241,17
29,17
907,16
1219,19
855,6
1043,19
989,6
934,5
1541,13
1139,13
490,14
802,18
1223,8
898,11
853,19
1542,13
165,14
867,16
719,19
427,22
1500,17
1201,16
468,17
842,22
951,6
899,13
1017,20
1332,14
1446,14
288,14
1217,17
148,17
381,17
141,18
863,16
824,20
481,19
374,16
1196,16
740,20
1263,19
317,19
913,18
711,13
235,14
213,11
81,13
1501,17
104,13
191,9
11,14
706,13
1122,14
1381,14
1319,14
825,13
1479,15
103,16
483,15
1343,14
1484,23
955,16
94,12
581,22
109,19
113,10
526,14
990,16
630,19
1282,14
493,15
818,13
865,11
790,14
100,16
859,21
1157,14
91,6
1039,18
64,16
1425,17
76,18
369,15
1534,12
367,20
933,5
1442,18
1214,17
1429,13
375,13
27,14
1233,14
1085,10
1439,10
1311,12
202,10
1222,20
1035,15
304,15
224,12
683,17
1485,15
1234,18
1433,14
1351,11
995,15
128,15
607,14
1147,19
16,15
1348,17
958,14
1508,19
1117,17
970,19
701,17
540,17
28,15
636,17
815,13
1380,13
1466,12
635,14
203,12
939,15
395,16
1503,15
1230,9
743,16
1488,12
695,18
753,10
463,11
1494,15
776,23
1204,18
616,12
681,17
352,16
652,15
